Back,,,,Chrome,Firefox,IE,,,,,,
ID_006,,"Kiểm tra cách bố trí, sắp xếp các field trên page và các chức năng phải có
Group 5 ""Thông tin vận chuyển""
Trường hợp ""Kho WMS"" = false và ""Yêu cầu vận chuyển"" = false","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","Follow the design path: https://www.figma.com/design/mT9RqCLN0gGrFOgQFWxdHz/-Web--Client-Portal?node-id=21319-92932&p=f&t=hLzOcPwrq6hA4bCu-0
- Cách bố trí, sắp xếp các field:
- Popup title: ""Thêm báo giá""
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Group 4 ""Thông tin xuất hoá đơn"":
- Group 5 ""Thông tin vận chuyển"":
+ Trường hợp ""Kho WMS"" = false và ""Yêu cầu vận chuyển"" = false: Gồm 10 field:
** Mặc định thêm mới field ""Kho WMS"" = false, ""Yêu cầu vận chuyển"" = false
     ++ Hàng 1: ""Kho WMS"", ""Tổ chức xuất hàng"", ""Địa chỉ kho xuất hàng"", ""Địa chỉ giao hàng""
     ++ Hàng 2: ""Giao hàng từ ngày"", ""Giao hàng đến ngày"", ""Ngày giao hàng"", ""Ngày nhận hàng tự kiến""
     ++ Hàng 3: ""Người nhận hàng"", ""Yêu cầu vận chuyển""
- Button ""Thêm báo giá""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_007,,"Kiểm tra cách bố trí, sắp xếp các field trên page và các chức năng phải có
Group 5 ""Thông tin vận chuyển""
Trường hợp ""Kho WMS"" = false và ""Yêu cầu vận chuyển"" = true","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","Follow the design path: https://www.figma.com/design/mT9RqCLN0gGrFOgQFWxdHz/-Web--Client-Portal?node-id=21319-92932&p=f&t=hLzOcPwrq6hA4bCu-0
- Cách bố trí, sắp xếp các field:
- Popup title: ""Thêm báo giá""
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Group 4 ""Thông tin xuất hoá đơn"":
- Group 5 ""Thông tin vận chuyển"":
+ Trường hợp ""Kho WMS"" = false và ""Yêu cầu vận chuyển"" = true: Gồm 15 field:
** Mặc định thêm mới field ""Kho WMS"" = false, ""Yêu cầu vận chuyển"" = true
     ++ Hàng 1: ""Kho WMS"", ""Tổ chức xuất hàng"", ""Địa chỉ kho xuất hàng"", ""Địa chỉ giao hàng""
     ++ Hàng 2: ""Giao hàng từ ngày"", ""Giao hàng đến ngày"", ""Ngày giao hàng"", ""Ngày nhận hàng tự kiến""
     ++ Hàng 3: ""Người nhận hàng"", ""Yêu cầu vận chuyển"", ""Phương thức giao hàng"", ""Xe vận chuyển""
     ++ Hàng 4: ""Đơn vị vận chuyển"", ""Đối tác vận chuyển"", ""Bảng giá vận chuyển""
- Button ""Thêm báo giá""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_008,,"Kiểm tra cách bố trí, sắp xếp các field trên page và các chức năng phải có
Group 5 ""Thông tin vận chuyển""
Trường hợp ""Kho WMS"" = true và ""Yêu cầu vận chuyển"" = false","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","Follow the design path: https://www.figma.com/design/mT9RqCLN0gGrFOgQFWxdHz/-Web--Client-Portal?node-id=21319-92932&p=f&t=hLzOcPwrq6hA4bCu-0
- Cách bố trí, sắp xếp các field:
- Popup title: ""Thêm báo giá""
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Group 4 ""Thông tin xuất hoá đơn"":
- Group 5 ""Thông tin vận chuyển"":
+ Trường hợp ""Kho WMS"" = true và ""Yêu cầu vận chuyển"" = false: Gồm 12 field:
** Mặc định thêm mới field ""Kho WMS"" = true, ""Yêu cầu vận chuyển"" = false
     ++ Hàng 1: ""Kho WMS"", ""BU xuất hàng"", ""Tổ chức xuất hàng"", ""Kho xuất hàng""
     ++ Hàng 2: ""Địa chỉ kho xuất hàng"", ""Địa chỉ giao hàng"", ""Giao hàng từ ngày"", ""Giao hàng đến ngày"" 
     ++ Hàng 3: ""Ngày giao hàng"", ""Ngày nhận hàng tự kiến"", ""Người nhận hàng"", ""Yêu cầu vận chuyển
- Button ""Thêm báo giá""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_009,,"Kiểm tra cách bố trí, sắp xếp các field trên page và các chức năng phải có
Group 5 ""Thông tin vận chuyển""
Trường hợp ""Kho WMS"" = true và ""Yêu cầu vận chuyển"" = true","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","Follow the design path: https://www.figma.com/design/mT9RqCLN0gGrFOgQFWxdHz/-Web--Client-Portal?node-id=21319-92932&p=f&t=hLzOcPwrq6hA4bCu-0
- Cách bố trí, sắp xếp các field:
- Popup title: ""Thêm báo giá""
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Group 4 ""Thông tin xuất hoá đơn"":
+ Trường hợp ""Kho WMS"" = true và ""Yêu cầu vận chuyển"" = true: Gồm 17 field:
** Mặc định thêm mới field ""Kho WMS"" = true, ""Yêu cầu vận chuyển"" = true
     ++ Hàng 1: ""Kho WMS"", ""BU xuất hàng"", ""Tổ chức xuất hàng"", ""Kho xuất hàng""
     ++ Hàng 2: ""Địa chỉ kho xuất hàng"", ""Địa chỉ giao hàng"", ""Giao hàng từ ngày"", ""Giao hàng đến ngày"" 
     ++ Hàng 3: ""Ngày giao hàng"", ""Ngày nhận hàng tự kiến"", ""Người nhận hàng"", ""Yêu cầu vận chuyển""
     ++ Hàng 4: ""Phương thức giao hàng"", ""Xe vận chuyển"", ""Đơn vị vận chuyển"", ""Đối tác vận chuyển""
     ++ Hàng 5: ""Bảng giá vận chuyển""
- Button ""Thêm báo giá""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_010,,"Kiểm tra cách bố trí, sắp xếp các field trên page và các chức năng phải có
Group 6 ""Thông tin bốc xếp""
Trường hợp ""Yêu cầu bốc xếp"" = false","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","Follow the design path: https://www.figma.com/design/mT9RqCLN0gGrFOgQFWxdHz/-Web--Client-Portal?node-id=21319-92932&p=f&t=hLzOcPwrq6hA4bCu-0
- Cách bố trí, sắp xếp các field:
- Popup title: ""Thêm báo giá""
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Group 4 ""Thông tin xuất hoá đơn"":
- Group 5 ""Thông tin vận chuyển"":
- Group 6 ""Thông tin bốc xếp"":
+ Trường hợp ""Yêu cầu bốc xếp"" = false: Gồm 1 field:
** Mặc định thêm mới field ""Yêu cầu bốc xếp"" = false
     ++ Hàng 1: ""Yêu cầu bốc xếp""
- Button ""Thêm báo giá""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_011,,"Kiểm tra cách bố trí, sắp xếp các field trên page và các chức năng phải có
Group 6 ""Thông tin bốc xếp""
Trường hợp ""Yêu cầu bốc xếp"" = true","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","Follow the design path: https://www.figma.com/design/mT9RqCLN0gGrFOgQFWxdHz/-Web--Client-Portal?node-id=21319-92932&p=f&t=hLzOcPwrq6hA4bCu-0
- Cách bố trí, sắp xếp các field:
- Popup title: ""Thêm báo giá""
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Group 4 ""Thông tin xuất hoá đơn"":
- Group 5 ""Thông tin vận chuyển"":
- Group 6 ""Thông tin bốc xếp"":
+ Trường hợp ""Yêu cầu bốc xếp"" = true: Gồm 3 field:
** Mặc định thêm mới field ""Yêu cầu bốc xếp"" = false
     ++ Hàng 1: ""Yêu cầu bốc xếp"", ""Phương thức bốc xếp"", ""Bảng giá bốc xếp""
- Button ""Thêm báo giá""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_012,,Kiểm tra ngôn ngữ theo tiếng Việt,"1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""",<Xem ở TestCase ID ID_002 đến ID_011>,7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_013,,Kiểm tra ngôn ngữ theo tiếng Anh,"1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""",<Xem ở TestCase ID ID_002 đến ID_011>,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_014,,"Kiểm tra độ dài, độ phân giải",Chỉnh độ phân giải browser lên từ 200% trở lên,"- Độ dài các cột sắp xếp phù hợp với độ phân giải đang xem và view được đủ dữ liệu
- Scroll direction: vertical / horizontal (Hướng cuộn: dọc / ngang)",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_015,,"Kiểm tra placeholder field
Group 1 ""Thông tin chung""","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","- Group 1 ""Thông tin chung"": Gồm 24 field
+ Field ""Mã báo giá"" có placeholder = ""Mã báo giá""
+ Field ""Người phụ trách"" có placeholder = ""Người phụ trách""
+ Field ""Tên báo giá"" có placeholder = ""Tên báo giá""
+ Field ""Mô tả"" có placeholder = ""Mô tả""
+ Field ""Ghi chú"" có placeholder = ""Ghi chú""
+ Field ""Số báo giá"" có placeholder = ""Số báo giá""
+ Field ""Loại báo giá"" có placeholder = ""Loại báo giá""
+ Field ""Khách hàng"" có placeholder = ""Khách hàng""
+ Field ""Tiền tệ"" có placeholder = ""Tiền tệ""
+ Field ""Bảng giá"" có placeholder = ""Bảng giá""
+ Field ""Sale phụ trách"" có placeholder = ""Sales phụ trách""
+ Field ""Ngày báo giá"" có placeholder = ""Ngày báo giá""
+ Field ""Hiệu lực từ"" có placeholder = ""Hiệu lực từ""
+ Field ""Hiệu lực đến"" có placeholder = ""Hiệu lực đến""
+ Field ""BU xuất hàng"" có placeholder = ""Pháp nhân bán hàng""
+ Field ""Số thập phân của giá"" => Field load theo ""Bảng giá"" được chọn nên không có placeholder
+ Các field ""Tổng tiền trước thuế"", ""Phí vận chuyển"", ""Phí bốc xếp"", ""Tổng phí vận chuyển bốc xếp"", ""Tổng thuế"", ""Tổng tiền sau thuế"" => Field tính toán từ hệ thống nên không có placeholder
+ Field ""Đơn vị tổ chức"" => Thuộc field hệ thống nên không có placeholder
+ Field ""Tạo hợp đồng"" => Field checkbox nên không có placeholder",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,Dư field Mã KH tiềm năng
